date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
6/11/2021,Italy,Turkey,3,0,UEFA Euro,Rome,Italy,FALSE
6/12/2021,Wales,Switzerland,1,1,UEFA Euro,Cardiff,Wales,FALSE
6/12/2021,Denmark,Finland,0,1,UEFA Euro,Copenhagen,Denmark,FALSE
6/13/2021,Austria,North Macedonia,3,1,UEFA Euro,Bucharest,Romania,TRUE
6/13/2021,Netherlands,Ukraine,3,2,UEFA Euro,Amsterdam,Netherlands,FALSE
6/13/2021,England,Croatia,1,0,UEFA Euro,London,England,FALSE
6/14/2021,Scotland,Czech Republic,0,2,UEFA Euro,Glasgow,Scotland,FALSE
6/14/2021,Spain,Sweden,0,0,UEFA Euro,Seville,Spain,FALSE
6/15/2021,Hungary,Portugal,0,3,UEFA Euro,Budapest,Hungary,FALSE
6/15/2021,Germany,France,0,1,UEFA Euro,Munich,Germany,FALSE
6/16/2021,Turkey,Wales,0,2,UEFA Euro,Baku,Azerbaijan,TRUE
6/16/2021,Italy,Switzerland,3,0,UEFA Euro,Rome,Italy,FALSE
6/17/2021,Denmark,Belgium,1,2,UEFA Euro,Copenhagen,Denmark,FALSE
6/17/2021,Ukraine,North Macedonia,2,1,UEFA Euro,Bucharest,Romania,TRUE
6/17/2021,Netherlands,Austria,2,0,UEFA Euro,Amsterdam,Netherlands,FALSE
6/18/2021,Croatia,Czech Republic,1,1,UEFA Euro,Glasgow,Scotland,TRUE
6/18/2021,England,Scotland,0,0,UEFA Euro,London,England,FALSE
6/19/2021,Spain,Poland,1,1,UEFA Euro,Seville,Spain,FALSE
6/19/2021,Hungary,France,1,1,UEFA Euro,Budapest,Hungary,FALSE
6/19/2021,Germany,Portugal,4,2,UEFA Euro,Munich,Germany,FALSE
6/20/2021,Italy,Wales,1,0,UEFA Euro,Rome,Italy,FALSE
6/20/2021,Switzerland,Turkey,3,1,UEFA Euro,Baku,Azerbaijan,TRUE
6/21/2021,Denmark,Russia,4,1,UEFA Euro,Copenhagen,Denmark,FALSE
6/21/2021,Netherlands,North Macedonia,3,0,UEFA Euro,Amsterdam,Netherlands,FALSE
6/21/2021,Ukraine,Austria,0,1,UEFA Euro,Bucharest,Romania,TRUE
6/22/2021,Scotland,Croatia,1,3,UEFA Euro,Glasgow,Scotland,FALSE
6/22/2021,England,Czech Republic,1,0,UEFA Euro,London,England,FALSE
6/23/2021,Spain,Slovakia,5,0,UEFA Euro,Seville,Spain,FALSE
6/23/2021,Germany,Hungary,2,2,UEFA Euro,Munich,Germany,FALSE
6/23/2021,Portugal,France,2,2,UEFA Euro,Budapest,Hungary,TRUE
6/26/2021,Italy,Austria,2,1,UEFA Euro,London,England,TRUE
6/26/2021,Wales,Denmark,0,4,UEFA Euro,Amsterdam,Netherlands,TRUE
6/27/2021,Netherlands,Czech Republic,0,2,UEFA Euro,Budapest,Hungary,TRUE
6/27/2021,Belgium,Portugal,1,0,UEFA Euro,Seville,Spain,TRUE
6/28/2021,Croatia,Spain,3,5,UEFA Euro,Copenhagen,Denmark,TRUE
6/28/2021,France,Switzerland,3,3,UEFA Euro,Bucharest,Romania,TRUE
6/29/2021,England,Germany,2,0,UEFA Euro,London,England,FALSE
6/29/2021,Sweden,Ukraine,1,2,UEFA Euro,Glasgow,Scotland,TRUE
7/2/2021,Switzerland,Spain,1,1,UEFA Euro,Saint Petersburg,Russia,TRUE
7/2/2021,Belgium,Italy,1,2,UEFA Euro,Munich,Germany,TRUE
7/3/2021,Czech Republic,Denmark,1,2,UEFA Euro,Baku,Azerbaijan,TRUE
7/3/2021,Ukraine,England,0,4,UEFA Euro,Rome,Italy,TRUE
7/6/2021,Italy,Spain,1,1,UEFA Euro,London,England,TRUE
7/7/2021,England,Denmark,2,1,UEFA Euro,London,England,FALSE
7/11/2021,England,Italy,1,1,UEFA Euro,London,England,FALSE
9/1/2021,Finland,Wales,0,0,Friendly,Helsinki,Finland,FALSE
9/1/2021,Qatar,Serbia,0,4,Friendly,Debrecen,Hungary,TRUE
9/1/2021,Switzerland,Greece,2,1,Friendly,Basel,Switzerland,FALSE
9/1/2021,Portugal,Republic of Ireland,2,1,FIFA World Cup qualification,Faro-Loulé,Portugal,FALSE
9/1/2021,Luxembourg,Azerbaijan,2,1,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
9/1/2021,Kazakhstan,Ukraine,2,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
9/1/2021,France,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,Strasbourg,France,FALSE
9/1/2021,Faroe Islands,Israel,0,4,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
9/1/2021,Denmark,Scotland,2,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
9/1/2021,Moldova,Austria,0,2,FIFA World Cup qualification,Chișinău,Moldova,FALSE
9/1/2021,Norway,Netherlands,1,1,FIFA World Cup qualification,Oslo,Norway,FALSE
9/1/2021,Turkey,Montenegro,2,2,FIFA World Cup qualification,Istanbul,Turkey,FALSE
9/1/2021,Russia,Croatia,0,0,FIFA World Cup qualification,Moscow,Russia,FALSE
9/2/2021,Georgia,Kosovo,0,1,FIFA World Cup qualification,Batumi,Georgia,FALSE
9/2/2021,Sweden,Spain,2,1,FIFA World Cup qualification,Stockholm,Sweden,FALSE
9/2/2021,Italy,Bulgaria,1,1,FIFA World Cup qualification,Florence,Italy,FALSE
9/2/2021,Estonia,Belgium,2,5,FIFA World Cup qualification,Tallinn,Estonia,FALSE
9/2/2021,Hungary,England,0,4,FIFA World Cup qualification,Budapest,Hungary,FALSE
9/2/2021,Iceland,Romania,0,2,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
9/2/2021,Liechtenstein,Germany,0,2,FIFA World Cup qualification,St. Gallen,Switzerland,TRUE
9/4/2021,Bosnia and Herzegovina,Kuwait,1,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
9/4/2021,Qatar,Portugal,1,3,Friendly,Debrecen,Hungary,TRUE
9/4/2021,Serbia,Luxembourg,4,1,FIFA World Cup qualification,Belgrade,Serbia,FALSE
9/4/2021,Finland,Kazakhstan,1,0,FIFA World Cup qualification,Helsinki,Finland,FALSE
9/4/2021,Ukraine,France,1,1,FIFA World Cup qualification,Kyiv,Ukraine,FALSE
9/4/2021,Faroe Islands,Denmark,0,1,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
9/4/2021,Scotland,Moldova,1,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
9/4/2021,Israel,Austria,5,2,FIFA World Cup qualification,Haifa,Israel,FALSE
9/4/2021,Gibraltar,Turkey,0,3,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE
9/4/2021,Netherlands,Montenegro,4,0,FIFA World Cup qualification,Eindhoven,Netherlands,FALSE
9/4/2021,Slovakia,Croatia,0,1,FIFA World Cup qualification,Bratislava,Slovakia,FALSE
9/5/2021,Estonia,Northern Ireland,0,1,Friendly,Tallinn,Estonia,FALSE
9/5/2021,Kosovo,Greece,1,1,FIFA World Cup qualification,Pristina,Kosovo,FALSE
9/5/2021,Spain,Georgia,4,0,FIFA World Cup qualification,Badajoz,Spain,FALSE
9/5/2021,Switzerland,Italy,0,0,FIFA World Cup qualification,Basel,Switzerland,FALSE
9/5/2021,Belarus,Wales,2,3,FIFA World Cup qualification,Kazan,Russia,TRUE
9/5/2021,England,Andorra,4,0,FIFA World Cup qualification,London,England,FALSE
9/5/2021,Albania,Hungary,1,0,FIFA World Cup qualification,Elbasan,Albania,FALSE
9/5/2021,Iceland,North Macedonia,2,2,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
9/5/2021,Germany,Armenia,6,0,FIFA World Cup qualification,Stuttgart,Germany,FALSE
9/5/2021,Romania,Liechtenstein,2,0,FIFA World Cup qualification,Bucharest,Romania,FALSE
9/7/2021,Luxembourg,Qatar,1,1,Friendly,Luxembourg,Luxembourg,FALSE
9/7/2021,Republic of Ireland,Serbia,1,1,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
9/7/2021,Azerbaijan,Portugal,0,3,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
9/7/2021,Bosnia and Herzegovina,Kazakhstan,2,2,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
9/7/2021,France,Finland,2,0,FIFA World Cup qualification,Lyon,France,FALSE
9/7/2021,Austria,Scotland,0,1,FIFA World Cup qualification,Vienna,Austria,FALSE
9/7/2021,Denmark,Israel,5,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
9/7/2021,Netherlands,Turkey,6,1,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
9/7/2021,Croatia,Slovenia,3,0,FIFA World Cup qualification,Split,Croatia,FALSE
9/8/2021,Bulgaria,Georgia,4,1,Friendly,Sofia,Bulgaria,FALSE
9/8/2021,Czech Republic,Ukraine,1,1,Friendly,Plzeň,Czech Republic,FALSE
9/8/2021,Kosovo,Spain,0,2,FIFA World Cup qualification,Pristina,Kosovo,FALSE
9/8/2021,Greece,Sweden,2,1,FIFA World Cup qualification,Athens,Greece,FALSE
9/8/2021,Northern Ireland,Switzerland,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
9/8/2021,Italy,Lithuania,5,0,FIFA World Cup qualification,Reggio Emilia,Italy,FALSE
9/8/2021,Wales,Estonia,0,0,FIFA World Cup qualification,Cardiff,Wales,FALSE
9/8/2021,Hungary,Andorra,2,1,FIFA World Cup qualification,Budapest,Hungary,FALSE
9/8/2021,Poland,England,1,1,FIFA World Cup qualification,Warsaw,Poland,FALSE
9/8/2021,Iceland,Germany,0,4,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
9/8/2021,North Macedonia,Romania,0,0,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
10/6/2021,Italy,Spain,1,2,UEFA Nations League,Milan,Italy,FALSE
10/7/2021,Belgium,France,2,3,UEFA Nations League,Turin,Italy,TRUE
10/8/2021,Czech Republic,Wales,2,2,FIFA World Cup qualification,Prague,Czech Republic,FALSE
10/8/2021,Estonia,Belarus,2,0,FIFA World Cup qualification,Tallinn,Estonia,FALSE
10/8/2021,Latvia,Netherlands,0,1,FIFA World Cup qualification,Riga,Latvia,FALSE
10/8/2021,Turkey,Norway,1,1,FIFA World Cup qualification,Istanbul,Turkey,FALSE
10/8/2021,Cyprus,Croatia,0,3,FIFA World Cup qualification,Larnaca,Cyprus,FALSE
10/8/2021,Iceland,Armenia,1,1,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
10/8/2021,Germany,Romania,2,1,FIFA World Cup qualification,Hamburg,Germany,FALSE
10/9/2021,Luxembourg,Serbia,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
10/9/2021,Georgia,Greece,0,2,FIFA World Cup qualification,Batumi,Georgia,FALSE
10/9/2021,Switzerland,Northern Ireland,2,0,FIFA World Cup qualification,Geneva,Switzerland,FALSE
10/9/2021,Finland,Ukraine,1,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
10/9/2021,Kazakhstan,Bosnia and Herzegovina,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
10/9/2021,Scotland,Israel,3,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
10/9/2021,Faroe Islands,Austria,0,2,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
10/9/2021,Moldova,Denmark,0,4,FIFA World Cup qualification,Chișinău,Moldova,FALSE
